id,name,type,lat,lon,status_lokasi,contact_number
7cf176fc-9c46-43ee-8817-2c27813d9802,Polisi Subsektor Cililitan,POLICE_STATION,-6.2635328,106.8661342,Buka 24 Jam,
0af8cae6-6a6d-43dd-a4a3-78a15b55b01d,Rumah Sakit Ibu dan Anak Restu Kasih,HOSPITAL,-6.2650891,106.8664545,Buka 24 Jam,
249fed44-264f-4ce9-b6c8-d0db333e78f0,RSUD Duren Sawit : Instalasi Kedaruratan Emosi dan Perilaku,HOSPITAL,-6.2311393,106.9086019,Buka 24 Jam,
9aa7dbef-e53a-41ff-beee-0f7ceb084fa6,POL SUBSEKTOR Cipinang Indah,POLICE_STATION,-6.2374054,106.8928202,Buka 24 Jam,
27c258b1-3a10-4592-8ac6-63f05185ba01,POL SUBSEKTOR Pondok Kopi,POLICE_STATION,-6.2204499,106.9413688,Buka 24 Jam,
40ebd650-bd9e-47e1-930f-416b468e06a9,SPBU Perintis Kemerdekaan,GAS_STATION,-6.1735769,106.8909013,Buka,
f8e76b8e-650c-4987-9ea9-539caef2f417,Polsek Cakung,POLICE_STATION,-6.1844248,106.9406076,Buka 24 Jam,
61e140aa-7c6e-47d7-8b47-afe970012137,Pos Polisi Bandara,POLICE_STATION,-6.2632498,106.8866678,Buka 24 Jam,
51d0ffca-fa5e-460a-9ed7-539b155b6b11,Polsek Penjaringan,POLICE_STATION,-6.1248479,106.8008844,Buka 24 Jam,
3f88e4cb-c8e2-4db7-bb35-55b7f517f2fc,Polri Sektor Palmerah Polsubsektor Jati Pulo,POLICE_STATION,-6.1742278,106.8048222,Buka 24 Jam,
04baaaed-ac40-4209-b921-03bb3a92d696,Polsek Metro Tamnsari,POLICE_STATION,-6.1451853,106.8166428,Buka 24 Jam,
65958020-7200-4ca2-bda8-90f6aa7b8e40,Rumah Sakit Umum Taman Sari,HOSPITAL,-6.1437715,106.8192284,Buka 24 Jam,
4b4687f0-c4ef-46cc-bb94-b7cabec09605,Pos Polisi Taman Fatahillah,POLICE_STATION,-6.1335551,106.8137302,Buka 24 Jam,
32232ee3-404f-4df6-8392-2f248e35f393,Rumah Sakit Ibu dan Anak Aries,HOSPITAL,-6.1576321,106.8099989,Buka 24 Jam,
eccf6e1c-d917-4f7a-99ef-5ce6ab635790,Rumah Sakit Pelni Petamburan,HOSPITAL,-6.1932311,106.8037259,Buka 24 Jam,
